tags	keywords	lyrics
rock,german,progressive,emo	days fly past,fly away,weightless steps	Fuck;;Nobody, anybody, somebody, who are you?;Nobody, anybody, and no one to say it to;I'm in a coma, I'm in the blue;Don't even know what the fuck I'm gonna do;Nothing concrete in my direction;No simplicity in my perfection;;I'm in a coma, I'm in the blue;;Let me fly away;'Cause I don't wanna stay here until my dying day;Nobody, anybody, somebody, who are you?;Who are you?;;So just become the most adaptable creature;An evolution that belongs to the future;The truth's so damn hard to take;When you're a bird of prey;;Let me fly away;'Cause I don't wanna stay here until my dying day;Nobody, anybody, somebody, who are you?;Nobody, anybody, somebody, who are you?;Nobody, anybody, somebody;;Walking down the soulless street;The weightless steps of burning feet;Bracing as the days fly past;But in reality, they last;;Among the ruins of the past;Among the ruins of the past;At the greatest speed, at the dip;Give me one reason to stop this trip;As the ashes turn to dust;Give me one reason to end this rush;;Let me fly away;'Cause I don't wanna stay here until my dying day;Nobody, anybody, somebody, who are you?;Nobody, anybody, somebody, who are you?;Nobody, anybody, somebody
rock,hard rock,alternative rock,nickelback,rock,alternative rock,hard rock	firing back straight crown,world stops turning,screaming like demons	Well, it's midnight, damn right;We're wound up too tight;I've got a fist full of whiskey;The bottle just bit me;;Oh, that shit makes me bat shit crazy;We've got no fear, no doubt;All in balls out;;We're going off tonight;To kick out every light;Take anything we want;Drink everything in sight;;We're going till the world stops turning;While we burn it to the ground tonight;;Ooh, ooh, ooh;Ooh, ooh, ooh;;We're screaming like demons;Swinging from the ceiling;I got a fist full of fifties;Tequila just hit me;;Oh, we got no class, no taste;No shirt, and shit faced;We got it lined up, shot down;Firing back straight crown;;We're going off tonight;To kick out every light;Take anything we want;Drink everything in sight;;We're going till the world stops turning;While we burn it to the ground tonight;;Ooh, ooh, ooh;Ooh, ooh, ooh;;Ticking like a time bomb;Drinking till the nights gone;Well, get you hands off of this glass;Last call my ass;;Well, no chain, no lock;And this train won't stop;We got no fear, no doubt;All in balls out;;We're going off tonight;To kick out every light;Take anything we want;Drink everything in sight;;We're going till the world stops turning;While we burn it to the ground tonight;;Ooh, ooh, ooh;;We're going off tonight;To kick out every light;Take anything we want;Drink everything in sight;;We're going till the world stops turning;While we burn it to the ground tonight
dance,hip hop,pop,hip-hop,rap	beat go boom boom pat,beat go boom boom,future boom boom boom	Gotta get that;Gotta get that;Gotta get that;Gotta get that that that that that;;Boom boom boom (gotta get that);Boom boom boom (gotta get that);Boom boom boom (gotta get that);Boom boom boom (gotta get that);;Boom boom boom (that);Boom boom boom (that);Boom boom boom, boom boom;;Yo, I got that hit that beat the block;You can get that bass on below;I got that rock and roll;That future flow;;That digital spit;Next-level visual shit;I got that (boom boom boom);How the beat bang (boom boom boom);;I like that boom boom pow;Them chickens jockin' my style;They try to copy my swagger;I'm on that next shit now;;I'm so three thousand and eight;You so two thousand and late;I got that boom boom boom;That future boom boom boom;Let me get it now;;Boom boom boom (gotta get that);Boom boom boom (gotta get that);Boom boom boom (gotta get that);Boom boom boom (gotta get that);;Boom boom boom (that);Boom boom boom (that);Boom boom boom;Boom boom boom;;I'm on that supersonic boom;Y'all hear that spaceship zoom;When-when I step inside the room;Them girls go apeshit, uh;;Y'all stuck on super 8-shit;That lo-fi's stupid 8-bit;I'm on that HD flat;This beat go boom boom pat;;I'm a beast when you turn me on;Into the future, cyber-tron;Harder, faster, better, stronger;Sexy ladies, extra longer, 'cause;;We got the beat that bounce;We got the beat that pound;We got the beat that 8-0-8;That boom boom in your town;;People in the place;If you wanna get down;Put your hands in the air;Will.i.am, drop the beat now;;I be rockin' them beats (yup, yup);I be rockin' them beats (yup-yup, yup, yup);Huh, huh, huh;;Here we go, here we go, satellite radio;Y'all gettin' hit with the (boom boom);Beat's so big, I'm steppin' on leprechauns;Shittin' on y'all with the (boom boom);Shittin' on y'all with the (boom boom);Shittin' on y'all with the...;;This beat be bumpin' bumpin';This beat go boom boom;;Let the beat rock;Let the beat rock;Let the beat r...;;This beat be bumpin' bumpin';This beat go boom boom;;I like that boom boom pow;Them chickens jockin' my style;They try to copy my swagger;I'm on that next shit now;;I'm so three thousand and eight;You so two thousand and late;I got that boom boom boom;That future boom boom boom;Let me get it now;;Boom boom boom (gotta get that);Boom boom boom (gotta get that);Boom boom boom (gotta get that);Boom boom boom (gotta get that);;Boom boom boom (that);Boom boom boom (that);Boom boom boom;Boom boom boom;;Let the beat rock (let the beat rock);Let the beat rock (let the beat);Let the beat r...;(Let the beat rock, rock, rock, rock)
fip,soul	need loving,need good,good loving	Tell me a tale that always was,;Sing me a song that I'll always be in,;Tell me a story that I can read,;Tell me a story that I believe.;;Paint me a picture that I can see,;Give me a touch that I can feel,;Turn me around so I can be,;Everything I was meant to be.;;Lord I need loving,;Lord I need good, good loving.;;Lord I need loving,;Lord I need good, good loving.;;Show me some strength that I can use,;Give me a sound that I won't refuse,;Tell me story that I can read,;Tell me a story that I can believe;;Tell me a tale that always was,;Sing me a song that I'll always be in,;Turn me around so I can be,;Everything I was meant to be.;;Lord I need loving,;Lord I need good, good loving.;;Lord I need loving,;Lord I need good, good loving.;;Lord I need loving,;Lord I need good, good loving.;;Lord I need loving,;Lord I need good, good loving.
experimental,downtempo,trip-hop	wishing away,stars rearrange,sparkling night	10, 000 claps;10, 000 claps for me;10, 000 cats;10, 000 cats for me;Seasonal change, stars rearrange;Kissing my grave;Why are you bothering me?;;10, 000 rats;10, 000 rats to meet;Standing in line;One at a time, for me;Sparkling night;Sharpening knives;Parallel lines;Taking up all of my time;;Wishing away;Robbing my stones;Kissing my grave;When can you take me back home?
psychedelic rock,stoner rock,psychedelic,stoner	biggest without fear,twisted minds,step forward	I sit myself high upon a mountain top and I look far, far across the hills;I'm so loaded, man, so deep and full, with all the love and all that is real;We gotta cry out and reach out and turn our twisted minds;And feel the connection that is between you and all that is alive;;To be with the smallest and biggest without fear and pride;I went through the chapel of dangers a few hundred times;And I had to work so hard to keep my love and intuition;Not to lose my guts and not to lose my mind;I reach out, a step forward, I stumble and I fall;All my greed and longing wasn't for real at all;;So reach out, reach out, get a hand brothers and sisters;Grow on your kindness, love harmony and peace;Empty yourselves of everything, gain in losing, thrive in your freedom;I tried, but I'm sure you will
indie,mellow,folk,alternative rock	moving west may bring us better days,never turning back,find another one	Land only for this fate.;The skyline is not seen for many a day.;It feels as though we're never turning back here.;The land returns to the dust.;;Is there any way to get this weight off my skin;And find another one?;Is there anyone to get this writing off the wall;And find a new one?;And find it...;;And just like the wind blows into the great unknown,;We're on our way, we're on our way.;Moving west may bring us better days.;We're on our way, we're on our way.;;Is there any way to get this weight off my skin;And find another one?;Is there anyone to get this writing off the wall;And find a new one?;And find it...
electropop,electronic,poptron,synthpop,pop,electropop,electronic,synthpop	oooooh oooooh oooooh oooooh ooooooooooh,feelings without emotions,start making fires	We can fight our desires;Ooooh but when we start making fires;We get ever so hot;Ooooh whether we like it or not;They say we can love who we trust;Ooooh but what is love without lust?;Two hearts with accurate devotions;Ooooh but what are feelings without emotions?;;I'm going in for the kill;I'm doing it for a thrill;Oh I'm hoping you'll understand;and not let go of my hand;;I'm going in for the kill;I'm doing it for a thrill;Oh I'm hoping you'll understand;and not let go of my hand;;I hang my hopes out on the line;Ooooh will they be ready for you in time?;If you leave them out too long;Ooooh they'll be withered by the sun;Full stops and exclamation marks;Ooooh my words stumble before I start;Oooooooh;How far can you send emotions?;Ooooh can this bridge cross the ocean?;;I'm going in for the kill;I'm doing it for a thrill;Oh I'm hoping you'll understand;and not let go of my hand;;I'm going in for the kill;I'm doing it for a thrill;Oh I'm hoping you'll understand;and not let go of my hand;;Let's go to war to make peace;Let's be cold to create heat;I hope in darkness we can see;And you're not blinded by the light from me;;Oooooh Oooooh Oooooh Oooooh Ooooooooooh;;I'm going in for the kill;I'm doing it for a thrill;Oh I'm hoping you'll understand;and not let go of my hand
k-pop,korean,hip-hop,rnb,masterpiece,k-rnb	soarin ', oh yeah,cakin ', cakin,mean every word	All I know;All I know;All I, all I;Look (groovy, heavier);;All I know is money right now;All I know is money right now;All I know is your booty in that tight dress, nice legs;Friday night, shit is lookin' lovely right now;I know nothin' 'bout that fake shit, nothin' 'bout that fake shit;I know nothin' 'bout actin' brand new to my crew;Yeah, it's all about the fam and the homies I came up with, yeah yeah;;All I know is positive vibes, no negative shit;Thank God I'm alive, I inspire the kids;Yeah my whip is foreign, and my chick be callin';And you know I stay fly so my kicks be soarin', oh yeah;Let me flex one time, just one time;Alright I'm over that shit, yeah I'm over that shit;Yeah look at the way I move, man they know what it is;;What my purpose is, what my purpose is;A few mill, cool for now, 'cause I worked for this;But in time, wanna be up in your mind;Redefine how you lookin' at the world and the way that shit is, ah yeah;I'ma be the one, I'ma be the one;Watch me, don't worry I got this, look;;Yeah, all I know is this fuckin' money;We made nothin' into something;One thing I do know for sure is I'ma be the one, yeah;Don't worry I got this;Don't worry I;Don't worry I;Don't worry I;Don't worry I got this;Don't worry I;Don't worry I;Don't worry I (look);;If you don't know, you about to find out;I mean every word out of my mouth;Workin' too hard to be underappreciated;I'm the same one even back when they were hatin';Move after move, motherfucker, is what we be makin';Everyday is our birthday and we be cakin', cakin' (look);;But some see the vision now and they try to creep around;But I ain't worried one bit;'Cause my mama wake up every morning, she be praying for me now;Look, my family too big to take any days off;So we grindin' like tommorow is uncertain;'Cause the future isn't somethin' you can purchase;So we showin' out till they close the curtains;;At times I wanna press rewind to a much simpler time, oh no;It's AOMG for life, yeah I'm always on my grind, oh no;Pickin' the other side, that's like suicide, oh no;But we about to let 'em all know, motherfucker let's go, ooh!;;Yeah, all I know is this fuckin' money;We made nothin' into something;One thing I do know for sure is I'ma be the one, yeah;Don't worry I got this;Don't worry I;Don't worry I;Don't worry I;Don't worry I got this;Don't worry I;Don't worry I;Don't worry I;;All I know;All I know;All I, all I
emo,twinkly,florida,emo your face off,boner jams,noodly	nothing without context,legs act,good thing	I'm so tired of waking up tired;Well, it's trite to say I've tried to change;Why can't my legs act on the same wavelength;With hands that relate?;;And everyone is so goddamn concerned with diction;I'm a dictionary;And everything is nothing without context;It's not a contest;Maybe it's a good thing;Maybe everything's as important as it seems;Lately I've been losing more friends than I've been making
pop,rock,female vocalists,female vocalist,singer-songwriter,pop,female vocalists,singer-songwriter	steel train touch,glass cage heart,cold hard truth	I don't want to talk about it to you;I'm not an open book that you can rifle through;The cold hard truth that you see right to;I'm just basket case without you;;He's not a magic man or a perfect fit;But had a steady hand and I got used to it;And a glass cage heart and invited me in;And now I'm just a basket case without him;;You're beggin' for the truth;So I'm sayin' it to you;I've been saving your place;And what good does it do?;Now I'm just a basket case;Now I'm just a basket case;;I don't say much and it'll stay that way;You got a steel train touch and I'm just a track you lay;So I'll stay right here underneath you;I'm just a basket case and that's what we do;;You're beggin' for the truth;So I'm sayin' it to you;I've been saving your place;And what good does it do?;Now I'm just a basket case;;Won't somebody come on in and tug at my seams?;Oh, send your armies in of robbers and thieves;To steal the state I'm in, I don't want it anymore;;You're beggin' for the truth;So I'm sayin' it to you;I've been saving your place;And what good does it do?;;Now I'm just a basket case;Now I'm just a basket case;Now I'm just a basket case;Now I'm just a basket case
pop,george michael,6 of 10 stars	pure white castles,old folk fend,money changing hands	"It's like a conversation, where no-one stops to breathe;Is it my imagination, or did God already leave the table?;Such destruction, and pure white castles in the sand;No time for introduction;With all that money changing hands;;And the satellite says, ""Take a look at all we have"";But the old man says;""You want my family, for your liberty... I can't do that."";;Look into the eyes of any patient man;Whether they be amber, green or blue;There's a piece of God staring back at you;But they see our children, and the old folk fend for themselves;They see our broken women;On imaginary shelves;;But the satellite says, ""Won't you people look at all we have?;Don't you want it?;Can't you see the things that you lack?"";Children in his arms, he turns his back."
80s,pop,pop,belgian,80s	heard somebody calling,witnessed anything like,one desire	Woke up this morning with my heart on fire;Held on to what I'd been dreaming;Woke up this morning I had one desire;To get back to what I'd been seeing;;Heaven, it was heaven,;;I have never know any like this,;Witnessed anything like this;Glowing all over as I started on my feet;I thought that I heard somebody calling;;Heaven, it was heaven,;;Now I know I've seen the light;make it go on shining;I keep on searching for the way to your heart,;try to believe it's getting better,;baby, take me all the way to your heart;I want you... (ohohohoho);;All as we kisses, all the tenderness;That I'm being shared all around it;Only remind me of my only stress;No loving arms to surround me;;Falling, I am falling;;You can help me out again;being mine forever;I keep on searching for the way to your heart,;try to believe it's getting better,;baby, take me all the way to your heart;I want you... (ohohohoho);;You got it, you got it;There'll be no doubt about it;nobody's going keep me from you - oh;I want you, I need you;I'll find a way to get through;Nobody is going keep me from you - uhuh;;Heaven, it was heaven,;;Now I know I've seen the light;make it go on shining;I keep on searching for the way to your heart,;try to believe it's getting better,;baby, take me all the way to your heart;I want you... (ohohohoho);;I keep on searching for the way to your heart,;try to believe it's getting better,;baby, take me all the way to your heart;I want you, I want you... (ohohohoho)
electropop,art pop,synthpop	treacherous way,one condition,heartfelt choir	Treacherous way of life;For the fool and the wise;Big rewards for the brave;Punishment so they'll behave, behave;;Play with me the game of fire;Join the loud and heartfelt choir;This is the sound of joy;Coming from my innermost;Sprung from north, coast to coast;;Play with me the game of fire;Join the loud and heartfelt choir;This is the sound of joy;Coming from my innermost;Sprung from north, coast to coast;;There were calls and demands;To become one of them;Gave me life on one condition;I owe them this, I owe them vision;;Play with me the game of fire;Join the loud and heartfelt choir;This is the sound of joy;Coming from my innermost;Sprung from north, coast to coast;;Play with me the game of fire;Join the loud and heartfelt choir;This is the sound of joy;Coming from my innermost;Sprung from north, coast to coast;(Of joy);(Game of fire);Coming from your innermost;Sprung from north, coast to coast
metalcore,hardcore,metal,melodic death metal	dying world stripped,black box revelations,black plagues	Black plagues, line a fading sky.;A dying world stripped to the bone;Intoxicated by the madness.;Blood weeps from open wounds.;;And still the fires rage;Consumed, now chaos reigns.;Our pride dissolved;The rise and fall;The breaking point;Burned and crossed.;;Lost;Now immune to all the carnage;We turn upon ourselves.;;Within these times of desperation;We are the virus that has infected;To its last.;;Nothing is sacred;Nothing shall be saved;No one shall be spared the horror;That has yet to come.;;Destroy and discard;This is all that we know.;;Blackened flesh, blistered;Hangs from skeletal frames;Stalking this arid wasteland;Our minds immune to change.;;The shreds of morality;Fall by the wayside;As we are left to ponder;These black box revelations.;;In these days to come;In this;Our final hour;We will witness the true depths to which;Humanity can sink.;;Humanity can sink.;;We will learn;you to suffer.;We will learn;you to fail.;And before long;We will beg for the end.;And still the fires rage;Consumed, now chaos reigns.;Our pride dissolved;The rise and fall.;The breaking point;Burned and crossed
rock,acoustic,just cant stand this song omg	made look like gowns,devil even turned,could always feel	Say the words I cannot say;Say them on another day;Fragile words like these will cut your tongue;Was I good enough, was I bad enough;When I wanted more, yeah, you had enough;But nobody's gonna try for you;Nobody's gonna do like I for you;;And every slow-lit cigarette;That nervous hands can barely get the courage;I could always feel your eyes.;And those dresses you made look like gowns;You're a sinner but the devil even turned you down;;Cause, nobody's gonna try for you;Nobody's gonna do like I for you;And nobody's gonna try for you;And nobody's gonna lie for you;Nobody's gonna do like I for you (oo, ooo, oo, ooooo);;Hold me like you never could;I'll hold you like I said I would.;Air or light won't breathe nor shine between.;With your feather lips, yeah you fly away;Well I hope they come back down someday;;Cause, nobody's gonna try for you;Nobody's gonna do like I for you;Somebody's getting by for you;I don't bend, I just break in two;Somebody like me;I'd die for you
